Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
83,Vlatko Čančar\cancavl01,SF,22,DEN,14,45,11.4,.507,.400,.267,12.3,12.4,12.4,9.1,1.1,2.1,15.2,19.0,,0.0,0.0,0.1,.067,,-3.5,-1.1,-4.5,0.0
84,Clint Capela\capelca01,C,25,HOU,39,1279,20.7,.626,.000,.268,13.7,30.5,22.0,5.7,1.2,4.8,12.7,16.0,,2.9,2.1,4.9,.185,,1.1,0.4,1.5,1.1
85,DeMarre Carroll\carrode01,SF,33,TOT,21,231,8.5,.523,.500,.667,5.1,16.7,10.9,10.1,0.8,1.5,18.6,15.8,,0.0,0.1,0.1,.026,,-3.4,-1.1,-4.5,-0.1
85,DeMarre Carroll\carrode01,SF,33,SAS,15,135,5.0,.437,.448,.690,5.6,19.2,12.4,10.2,0.7,1.3,20.9,15.4,,-0.2,0.1,-0.1,-0.037,,-6.0,-1.1,-7.1,-0.2
85,DeMarre Carroll\carrode01,SF,33,HOU,6,96,13.5,.624,.560,.640,4.3,13.2,8.7,10.0,1.0,1.8,15.8,16.4,,0.2,0.1,0.2,.114,,0.3,-1.1,-0.8,0.0
86,Jevon Carter\carteje01,PG,24,PHO,51,779,10.3,.536,.576,.129,3.5,10.9,7.2,11.5,2.4,1.5,12.3,13.8,,0.4,0.8,1.1,.069,,-1.6,1.0,-0.6,0.3
87,Vince Carter\cartevi01,SF,43,ATL,60,876,7.6,.470,.664,.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,,-0.6,0.4,-0.2,-0.011,,-3.1,-1.2,-4.3,-0.5
88,Wendell Carter Jr.\cartewe01,C,20,CHI,43,1256,15.5,.590,.085,.443,11.6,24.6,17.8,6.0,1.3,2.7,14.9,16.4,,1.7,1.6,3.3,.127,,-2.1,-0.3,-2.4,-0.1
89,Michael Carter-Williams\cartemi01,SG,28,ORL,43,795,15.2,.532,.283,.351,5.9,13.4,9.5,19.1,2.8,2.3,14.5,18.4,,0.7,1.1,1.8,.110,,-1.6,1.5,-0.1,0.4
90,Alex Caruso\carusal01,PG,25,LAL,60,1084,11.1,.537,.410,.315,1.5,9.9,5.8,12.7,2.8,1.5,13.9,14.0,,0.5,1.8,2.3,.102,,-2.3,2.5,0.2,0.6
